,date,unemployment_rate,monthly_gdp,monthly_cpi
0,2014-08-03,7.0,1809135.0,125.7
1,2014-08-10,7.0,1809135.0,125.7
2,2014-08-17,7.0,1809135.0,125.7
3,2014-08-24,7.0,1809135.0,125.7
4,2014-08-31,7.0,1809135.0,125.7
5,2014-09-07,6.9,1816399.0,125.8
6,2014-09-14,6.9,1816399.0,125.8
7,2014-09-21,6.9,1816399.0,125.8
8,2014-09-28,6.9,1816399.0,125.8
9,2014-10-05,6.7,1821619.0,125.9
10,2014-10-12,6.7,1821619.0,125.9
11,2014-10-19,6.7,1821619.0,125.9
12,2014-10-26,6.7,1821619.0,125.9
13,2014-11-02,6.7,1822817.0,125.4
14,2014-11-09,6.7,1822817.0,125.4
15,2014-11-16,6.7,1822817.0,125.4
16,2014-11-23,6.7,1822817.0,125.4
17,2014-11-30,6.7,1822817.0,125.4
18,2014-12-07,6.7,1825584.0,124.5
19,2014-12-14,6.7,1825584.0,124.5
20,2014-12-21,6.7,1825584.0,124.5
21,2014-12-28,6.7,1825584.0,124.5
22,2015-01-04,6.7,1817974.0,124.3
23,2015-01-11,6.7,1817974.0,124.3
24,2015-01-18,6.7,1817974.0,124.3
25,2015-01-25,6.7,1817974.0,124.3
26,2015-02-01,6.8,1815506.0,125.4
27,2015-02-08,6.8,1815506.0,125.4
28,2015-02-15,6.8,1815506.0,125.4
29,2015-02-22,6.8,1815506.0,125.4
30,2015-03-01,6.9,1814460.0,126.3
31,2015-03-08,6.9,1814460.0,126.3
32,2015-03-15,6.9,1814460.0,126.3
33,2015-03-22,6.9,1814460.0,126.3
34,2015-03-29,6.9,1814460.0,126.3
35,2015-04-05,6.9,1813921.0,126.2
36,2015-04-12,6.9,1813921.0,126.2
37,2015-04-19,6.9,1813921.0,126.2
38,2015-04-26,6.9,1813921.0,126.2
39,2015-05-03,6.9,1812920.0,126.9
40,2015-05-10,6.9,1812920.0,126.9
41,2015-05-17,6.9,1812920.0,126.9
42,2015-05-24,6.9,1812920.0,126.9
43,2015-05-31,6.9,1812920.0,126.9
44,2015-06-07,6.9,1817855.0,127.2
45,2015-06-14,6.9,1817855.0,127.2
46,2015-06-21,6.9,1817855.0,127.2
47,2015-06-28,6.9,1817855.0,127.2
48,2015-07-05,6.9,1822436.0,127.3
49,2015-07-12,6.9,1822436.0,127.3
50,2015-07-19,6.9,1822436.0,127.3
51,2015-07-26,6.9,1822436.0,127.3
52,2015-08-02,7.0,1826294.0,127.3
53,2015-08-09,7.0,1826294.0,127.3
54,2015-08-16,7.0,1826294.0,127.3
55,2015-08-23,7.0,1826294.0,127.3
56,2015-08-30,7.0,1826294.0,127.3
57,2015-09-06,7.1,1818765.0,127.1
58,2015-09-13,7.1,1818765.0,127.1
59,2015-09-20,7.1,1818765.0,127.1
60,2015-09-27,7.1,1818765.0,127.1
61,2015-10-04,6.9,1820488.0,127.2
62,2015-10-11,6.9,1820488.0,127.2
63,2015-10-18,6.9,1820488.0,127.2
64,2015-10-25,6.9,1820488.0,127.2
65,2015-11-01,7.1,1824776.0,127.1
66,2015-11-08,7.1,1824776.0,127.1
67,2015-11-15,7.1,1824776.0,127.1
68,2015-11-22,7.1,1824776.0,127.1
69,2015-11-29,7.1,1824776.0,127.1
70,2015-12-06,7.2,1826829.0,126.5
71,2015-12-13,7.2,1826829.0,126.5
72,2015-12-20,7.2,1826829.0,126.5
73,2015-12-27,7.2,1826829.0,126.5
74,2016-01-03,7.2,1837860.0,126.8
75,2016-01-10,7.2,1837860.0,126.8
76,2016-01-17,7.2,1837860.0,126.8
77,2016-01-24,7.2,1837860.0,126.8
78,2016-01-31,7.2,1837860.0,126.8
79,2016-02-07,7.3,1832584.0,127.1
80,2016-02-14,7.3,1832584.0,127.1
81,2016-02-21,7.3,1832584.0,127.1
82,2016-02-28,7.3,1832584.0,127.1
83,2016-03-06,7.1,1825855.0,127.9
84,2016-03-13,7.1,1825855.0,127.9
85,2016-03-20,7.1,1825855.0,127.9
86,2016-03-27,7.1,1825855.0,127.9
87,2016-04-03,7.2,1830002.0,128.3
88,2016-04-10,7.2,1830002.0,128.3
89,2016-04-17,7.2,1830002.0,128.3
90,2016-04-24,7.2,1830002.0,128.3
91,2016-05-01,7.0,1819666.0,128.8
92,2016-05-08,7.0,1819666.0,128.8
93,2016-05-15,7.0,1819666.0,128.8
94,2016-05-22,7.0,1819666.0,128.8
95,2016-05-29,7.0,1819666.0,128.8
96,2016-06-05,6.9,1828411.0,129.1
97,2016-06-12,6.9,1828411.0,129.1
98,2016-06-19,6.9,1828411.0,129.1
99,2016-06-26,6.9,1828411.0,129.1
100,2016-07-03,7.0,1839206.0,128.9
101,2016-07-10,7.0,1839206.0,128.9
102,2016-07-17,7.0,1839206.0,128.9
103,2016-07-24,7.0,1839206.0,128.9
104,2016-07-31,7.0,1839206.0,128.9
105,2016-08-07,7.0,1843452.0,128.7
106,2016-08-14,7.0,1843452.0,128.7
107,2016-08-21,7.0,1843452.0,128.7
108,2016-08-28,7.0,1843452.0,128.7
109,2016-09-04,7.0,1848118.0,128.8
110,2016-09-11,7.0,1848118.0,128.8
111,2016-09-18,7.0,1848118.0,128.8
112,2016-09-25,7.0,1848118.0,128.8
113,2016-10-02,7.0,1847038.0,129.1
114,2016-10-09,7.0,1847038.0,129.1
115,2016-10-16,7.0,1847038.0,129.1
116,2016-10-23,7.0,1847038.0,129.1
117,2016-10-30,7.0,1847038.0,129.1
118,2016-11-06,6.9,1853836.0,128.6
119,2016-11-13,6.9,1853836.0,128.6
120,2016-11-20,6.9,1853836.0,128.6
121,2016-11-27,6.9,1853836.0,128.6
122,2016-12-04,7.0,1858876.0,128.4
123,2016-12-11,7.0,1858876.0,128.4
124,2016-12-18,7.0,1858876.0,128.4
125,2016-12-25,7.0,1858876.0,128.4
126,2017-01-01,6.8,1868964.0,129.5
127,2017-01-08,6.8,1868964.0,129.5
128,2017-01-15,6.8,1868964.0,129.5
129,2017-01-22,6.8,1868964.0,129.5
130,2017-01-29,6.8,1868964.0,129.5
131,2017-02-05,6.6,1873773.0,129.7
132,2017-02-12,6.6,1873773.0,129.7
133,2017-02-19,6.6,1873773.0,129.7
134,2017-02-26,6.6,1873773.0,129.7
135,2017-03-05,6.7,1881584.0,129.9
136,2017-03-12,6.7,1881584.0,129.9
137,2017-03-19,6.7,1881584.0,129.9
138,2017-03-26,6.7,1881584.0,129.9
139,2017-04-02,6.5,1888758.0,130.4
140,2017-04-09,6.5,1888758.0,130.4
141,2017-04-16,6.5,1888758.0,130.4
142,2017-04-23,6.5,1888758.0,130.4
143,2017-04-30,6.5,1888758.0,130.4
144,2017-05-07,6.6,1896042.0,130.5
145,2017-05-14,6.6,1896042.0,130.5
146,2017-05-21,6.6,1896042.0,130.5
147,2017-05-28,6.6,1896042.0,130.5
148,2017-06-04,6.5,1899612.0,130.4
149,2017-06-11,6.5,1899612.0,130.4
150,2017-06-18,6.5,1899612.0,130.4
151,2017-06-25,6.5,1899612.0,130.4
