,roas_mean,roas_median,mroas,roas_avg
dm,130.07455552040085,115.8369967429637,46.2927433145848,133.32926550720057
inst,1699.4009373298904,1625.9218515600985,1573.046634263191,1724.1209765400038
nsp,548.735627296789,378.556605163026,779.6416479184826,697.785891718418
auddig,38305.7633280434,35092.18915999921,13682.071921278923,35446.71572914041
audtr,1231.8926209689778,1012.1597617195595,552.2139584109254,1155.9894874302995
vidtr,1066.6133805195377,995.9932789446065,681.1127896262185,861.0115317257894
viddig,4871.343860850798,4758.6551070484375,1634.1212903942717,4815.649896987995
so,727.8862263593411,678.0202099316739,205.19407215142854,710.8427869946719
on,693.3429134136125,624.6134263529158,307.1395590373586,659.5842091191158
sem,253.37862844616654,229.9371485411067,121.12501147338133,235.4659139569473
