,date,unemployment_rate,monthly_gdp,monthly_cpi,wk_strt_dt,mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem
0,2014-08-03,7.0,1809135.0,125.7,2014-08-03,678410.26,129759.66,507635.16,2700.69,254134.14,216725.59,45397.9,0.0,61364.75,355954.51
1,2014-08-10,7.0,1809135.0,125.7,2014-08-10,661097.71,70355.33,625719.37,5039.35,106602.98,108919.26,2903.36,0.0,132643.9,336306.72
2,2014-08-17,7.0,1809135.0,125.7,2014-08-17,1874338.43,107720.37,277532.61,2610.93,59011.42,74032.19,8110.48,0.0,76741.27,344787.96
3,2014-08-24,7.0,1809135.0,125.7,2014-08-24,306583.37,141708.61,186028.61,6032.91,178010.46,110995.66,6516.22,0.0,193043.55,365495.11
4,2014-08-31,7.0,1809135.0,125.7,2014-08-31,2366274.16,160691.3,706694.09,5187.32,144097.56,225140.84,19381.12,0.0,249612.89,401789.35
5,2014-09-07,6.9,1816399.0,125.8,2014-09-07,551660.91,54611.44,420740.17,3202.0,160774.8,112061.13,19037.84,0.0,156145.21,306469.2
6,2014-09-14,6.9,1816399.0,125.8,2014-09-14,1249748.19,37601.75,181439.02,1710.53,128558.88,169156.16,26129.36,650.53,368607.31,354210.28
7,2014-09-21,6.9,1816399.0,125.8,2014-09-21,1200840.95,72652.65,260108.46,1880.89,77428.05,193112.18,28991.38,1138.42,178897.74,199757.92
8,2014-09-28,6.9,1816399.0,125.8,2014-09-28,679543.45,62239.3,205079.73,2264.57,22725.67,156913.77,9348.85,1628.94,255042.36,214170.0
9,2014-10-05,6.7,1821619.0,125.9,2014-10-05,597511.18,91521.07,446360.8,3363.18,172517.15,202935.22,9444.96,1500.06,218050.84,281419.21
10,2014-10-12,6.7,1821619.0,125.9,2014-10-12,2061821.25,154363.7,730019.09,4069.05,133880.82,162216.38,4089.64,2142.88,135022.96,599789.41
11,2014-10-19,6.7,1821619.0,125.9,2014-10-19,916455.19,55862.95,525253.99,1101.1,290259.06,162098.79,2463.68,11200.01,117714.42,559240.25
12,2014-10-26,6.7,1821619.0,125.9,2014-10-26,484903.7,60076.42,540098.42,2025.63,69002.47,59832.14,3619.47,2800.0,152480.04,379409.92
13,2014-11-02,6.7,1822817.0,125.4,2014-11-02,1885080.56,196485.15,244989.63,3516.11,129415.89,230763.73,4180.29,5035.45,267335.48,830035.46
14,2014-11-09,6.7,1822817.0,125.4,2014-11-09,827785.48,94388.12,599363.88,3118.9,65230.29,357867.72,12972.69,8188.53,179366.52,498551.24
15,2014-11-16,6.7,1822817.0,125.4,2014-11-16,1952211.28,141990.26,734726.63,3981.27,259902.69,425195.29,11651.23,11890.97,271521.12,493407.84
16,2014-11-23,6.7,1822817.0,125.4,2014-11-23,2285885.34,590148.11,1207930.38,7509.02,179152.14,392581.65,9903.17,128992.07,397679.4,961115.1
17,2014-11-30,6.7,1822817.0,125.4,2014-11-30,768569.58,77002.53,437211.98,4127.29,119986.63,613788.36,24145.69,11609.86,260737.55,2450532.72
18,2014-12-07,6.7,1825584.0,124.5,2014-12-07,1386270.56,124205.44,2198467.4,4770.47,272215.52,769348.71,34013.91,15255.99,485320.56,1893220.64
19,2014-12-14,6.7,1825584.0,124.5,2014-12-14,937645.57,378254.74,1049608.33,5870.9,283360.76,643356.19,34543.86,14459.01,284212.27,667739.73
20,2014-12-21,6.7,1825584.0,124.5,2014-12-21,705524.33,309908.81,2053156.13,9208.74,162091.54,753124.44,19736.64,15230.44,446930.5,604377.16
21,2014-12-28,6.7,1825584.0,124.5,2014-12-28,685817.13,192306.4,335860.68,9257.39,194071.48,321707.92,7185.81,6909.42,235677.83,295149.0
22,2015-01-04,6.7,1817974.0,124.3,2015-01-04,41763.2,40592.32,566405.65,1038.24,58684.21,49883.1,4615.7,0.0,115032.31,366063.36
23,2015-01-11,6.7,1817974.0,124.3,2015-01-11,1232500.13,56105.1,424603.53,2718.75,133089.32,96811.87,4298.14,840.0,69430.23,328769.77
24,2015-01-18,6.7,1817974.0,124.3,2015-01-18,713458.55,57215.99,546957.34,1038.24,4149.71,0.0,0.0,2030.0,61591.26,376965.15
