,roas_mean,roas_median,mroas,roas_avg
dm,148.2052392209422,132.36315971275388,79.31967176181577,151.0669192853708
inst,1141.801831879386,1043.0754898997627,446.6805649939847,1165.4775928930246
nsp,649.7960883946847,448.51820144662304,877.4784656407812,850.2836774383595
auddig,20308.106138774063,18956.36874492916,5383.689171894718,19507.68159110233
audtr,1597.6956887248782,1369.6069346925901,827.1063469728982,1543.1436561958346
vidtr,491.08894468118893,453.89493078416035,211.27210201149182,407.1707053474751
viddig,8300.656450742174,7268.514689024261,2557.6846111833142,7203.1275131614475
so,1040.2145425549363,922.4016844223311,261.2335609848086,993.577621675431
on,539.8112602195556,486.90433950176913,315.3375875896583,521.2555408826889
sem,230.39298116384265,213.99856910536823,143.59900088151804,216.6776797620462
